Name,email,password,bvn,acct_num,acct_pin
,,,,,
Amanda Woods Brooks,gilbert62@example.com,#5Ijt@0Ms0q#,70,19264,27583
Deborah Schultz Johnson,tiffany59@example.com,^GFDUGdtEWz4,9623,52223,37750
Sean Davila Barron,katherine52@example.net,CW3r)6pot(F@,6393,,
Darryl Jackson James,xreynolds@example.org,509djsND@1qX,4977,,
Brian Barnett Wright,meadowsbrenda@example.com,kMGJdVre&d8v,7961,,
Jacob Thomas Martinez,steven38@example.net,+LA6KbDsXPjD,8860,,
Heather Gentry Harris,theresaperez@example.net,z3I!cLJv_4$U,2783,,
Tyler Cooper Smith,bradley83@example.org,)L2B2ny8)vTL,8505,,
Veronica Alexander Kaufman,vnelson@example.net,ITt%Su#B_9$A,9399,,
Brandon Delgado Ramirez,susan54@example.org,!ep(6J2u3*32,6300,,
Jade Owens Solis,robbinsjoseph@example.com,PI!(l)BkFW2(,5284,,
Sheila Lewis Kelly,deckerdeanna@example.net,+jJo&&JZ8BS),1722,,
Michael Rogers Padilla,travis84@example.org,$9tAm_cEPWYk,203,,
Christina Mack Martinez,davidgrant@example.org,Xi7+!B#h$Hg#,303,,
Stephanie Galvan Ruiz,mjones@example.org,!b9hLcZ7@0u#,7017,,
Christopher Newman Norris,simpsonchristopher@example.net,)WSId192M+4d,8294,,
Roy Lynch Wang,david86@example.com,k)EbH#vt@m5Y,8910,,
